                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     34,                0.93625,                 1.2273,                 1.2912,                0.29909,                0.42759,                0.28976,                0.17263,                 1.5673,                 2.2742,                 1.9778,             0.00097629,             0.00097629,             0.00097629
                     35,                0.93661,                 1.2012,                 1.2797,                0.38226,                0.38171,                0.33713,                0.19734,                 1.5086,                 2.1796,                 1.9703,             0.00096215,             0.00096215,             0.00096215
                     36,                0.93554,                 1.2042,                 1.2754,                0.35915,                0.33344,                 0.3101,                0.15985,                 1.7245,                 1.9508,                 2.3041,               0.000948,               0.000948,               0.000948
                     37,                0.88786,                 1.1338,                 1.2555,                0.37384,                0.34888,                 0.3073,                0.17459,                 1.6532,                  2.135,                 2.0955,             0.00093385,             0.00093385,             0.00093385
                     38,                0.89527,                 1.1288,                 1.2569,                0.40361,                0.37095,                0.35095,                0.18564,                 1.6571,                 2.0865,                 2.0863,              0.0009197,              0.0009197,              0.0009197
                     39,                0.89358,                 1.1179,                 1.2483,                0.38681,                0.42757,                0.36461,                 0.1993,                 1.5868,                 1.9885,                 2.0126,             0.00090556,             0.00090556,             0.00090556
                     40,                0.84296,                  1.036,                 1.2234,                0.35872,                0.50062,                0.36107,                0.20658,                 1.5832,                  2.048,                 2.0391,             0.00089141,             0.00089141,             0.00089141
                     41,                0.87831,                 1.0494,                 1.2435,                0.36601,                0.36789,                0.32379,                0.19081,                 1.5939,                 2.1126,                 2.0554,             0.00087726,             0.00087726,             0.00087726
                     42,                 0.8559,                 1.0532,                  1.222,                0.35363,                0.35688,                0.31997,                0.18742,                   1.64,                 2.1182,                 2.0831,             0.00086312,             0.00086312,             0.00086312
                     43,                0.87729,                 1.0491,                 1.2397,                0.37272,                0.44117,                0.33361,                0.18965,                 1.5674,                 2.0563,                 1.9653,             0.00084897,             0.00084897,             0.00084897
                     44,                0.86827,                 1.0728,                 1.2338,                0.41812,                0.34739,                0.33742,                0.18468,                 1.6462,                 1.8762,                 2.0781,             0.00083482,             0.00083482,             0.00083482
                     45,                0.87261,                 1.0458,                 1.2311,                0.33488,                0.34018,                0.27816,                0.16621,                 1.6529,                 2.4474,                 2.1085,             0.00082067,             0.00082067,             0.00082067
                     46,                0.82969,                 1.0099,                 1.1839,                0.34966,                0.33463,                0.28793,                0.16789,                 1.5489,                 2.3111,                  2.004,             0.00080653,             0.00080653,             0.00080653
                     47,                0.85499,                 1.0194,                 1.2167,                0.42044,                0.36162,                0.34939,                0.20532,                 1.5392,                 1.7612,                 1.9712,             0.00079238,             0.00079238,             0.00079238
                     48,                0.82069,                0.99626,                 1.2006,                0.34234,                0.38198,                0.34969,                  0.201,                 1.6145,                 1.9204,                 2.0591,             0.00077823,             0.00077823,             0.00077823
                     49,                0.88434,                 1.0368,                  1.233,                0.41325,                0.35222,                 0.3659,                0.19101,                 1.7231,                 1.9092,                 2.1049,             0.00076409,             0.00076409,             0.00076409
                     50,                0.85074,                0.98166,                  1.218,                0.44427,                0.44294,                0.38544,                0.22175,                 1.5623,                 1.8289,                 1.9762,             0.00074994,             0.00074994,             0.00074994
                     51,                0.78996,                0.93716,                 1.1676,                0.43185,                0.47565,                0.38393,                0.22244,                 1.5655,                 1.8578,                 2.0157,             0.00073579,             0.00073579,             0.00073579
                     52,                0.81268,                0.92897,                 1.1864,                0.39067,                0.39056,                0.32115,                0.18517,                 1.6027,                 2.2801,                 2.1191,             0.00072164,             0.00072164,             0.00072164
                     53,                0.79081,                0.91062,                 1.1778,                0.37876,                0.41682,                0.37762,                0.23156,                 1.5269,                 1.7982,                 2.0018,              0.0007075,              0.0007075,              0.0007075
                     54,                0.76898,                 0.8739,                 1.1551,                0.39227,                0.42279,                0.37827,                0.21778,                 1.5906,                 1.8715,                 2.0299,             0.00069335,             0.00069335,             0.00069335
                     55,                 0.7579,                0.91132,                 1.1646,                0.35685,                0.47478,                0.32485,                0.17997,                 1.6181,                 2.3424,                  2.093,              0.0006792,              0.0006792,              0.0006792
